 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
0.349282,-0.675323,0.355837,2.7144,61.2615,5.80501,0.787354,0.812646,-0.995353,0.096289,7.24061,0.0497867,-12.8039,-14.3964,-13.9352,-13.5876,7.16479,7.31886,7.27424
0.36502,-0.673062,0.35679,2.73221,61.3113,5.79919,0.791513,0.808487,-0.9961,0.0882347,7.19645,0.0500094,-12.8032,-14.397,-13.9553,-13.5917,7.12661,7.26779,7.22866
0.380354,-0.673062,0.357533,2.75007,61.3613,5.79339,0.7953,0.8047,-0.996742,0.0806541,7.15185,0.0502108,-12.8027,-14.3975,-13.9746,-13.5954,7.0877,7.21675,7.18252
0.395246,-0.663319,0.358001,2.76796,61.4115,5.78758,0.799013,0.800987,-0.997293,0.0735332,7.1068,0.0503927,-12.8021,-14.3977,-13.9931,-13.5989,7.04805,7.1657,7.13586
0.409656,-0.642432,0.358126,2.78587,61.4619,5.78184,0.802192,0.797808,-0.997762,0.0668585,7.06132,0.0505574,-12.8017,-14.3981,-14.0109,-13.6021,7.00768,7.11466,7.08871
0.42355,-0.608537,0.357838,2.80377,61.5124,5.77628,0.759227,0.795052,-0.998161,0.0606171,7.0154,0.0507069,-12.8472,-14.3986,-14.0278,-13.605,6.96938,7.0636,7.04108
0.436896,-0.559793,0.357065,2.82165,61.5632,5.77101,0.707598,0.792402,-0.998498,0.0547963,6.96907,0.0508435,-12.9012,-14.3989,-14.044,-13.6077,6.9303,7.01249,6.99301
0.449664,-0.494414,0.355734,2.83947,61.614,5.76616,0.710107,0.789893,-0.99878,0.0493841,6.92232,0.050969,-12.9009,-14.3991,-14.0593,-13.6102,6.88726,6.96133,6.94453
0.461829,-0.410695,0.353772,2.85721,61.665,5.76187,0.712315,0.787685,-0.999015,0.0443687,6.87517,0.0510856,-12.9008,-14.3993,-14.0737,-13.6124,6.84356,6.91012,6.89566
0.473365,-0.307031,0.351108,2.87484,61.716,5.75831,0.714336,0.785664,-0.99921,0.039739,6.82761,0.0511951,-12.9006,-14.3994,-14.0874,-13.6144,6.79922,6.85883,6.84642
0.484255,-0.181936,0.347676,2.89231,61.7672,5.75564,0.716102,0.783898,-0.99937,0.0354844,6.77966,0.0512994,-12.9005,-14.3996,-14.1001,-13.6162,6.75425,6.80748,6.79684
0.494481,-0.0340625,0.343412,2.9096,61.8185,5.75406,0.717752,0.782248,-0.999501,0.0315948,6.73132,0.0514002,-12.9004,-14.3997,-14.112,-13.6178,6.70864,6.75604,6.74695
0.504029,0.137797,0.338258,2.92664,61.8699,5.75377,0.719193,0.780807,-0.999606,0.0280603,6.6826,0.0514989,-12.9003,-14.3997,-14.1231,-13.6192,6.66242,6.70451,6.69675
0.512891,0.334707,0.332164,2.94341,61.9214,5.75496,0.72051,0.77949,-0.999691,0.0248719,6.63351,0.0515969,-12.9003,-14.3998,-14.1333,-13.6205,6.61559,6.6529,6.64627
